N,P,K,temperature,humidity,ph,rainfall,label
88.65660495705318,34.60015893759504,51.25676793709686,27.351411790978034,66.3917184907693,5.944237172598189,237.81248886968027,rice
81.20508889187701,44.83198842495711,27.204341086396298,27.198494937157072,88.22233548343159,6.423110744146426,259.79930655329673,rice
90.61011210702455,36.40707537116762,45.53126176123748,22.602793497927504,89.02760241045819,6.382525931154812,230.93302800200428,rice
76.8288454671527,57.2254133867403,37.682057768967965,23.929180444592234,79.18293159609416,6.5863082149436725,243.03976941600973,rice
89.95279133915186,49.308210030078826,72.12471401305692,23.983962459038462,77.9020581674277,6.115179545113243,248.5515472966609,rice
98.5476675126507,43.86052542345125,27.397652845562078,22.938796960771903,87.20474230259761,6.6601389599212055,246.9493939027143,rice
77.01388351253567,47.3216132306672,41.750287137110924,25.54672149182253,88.97143022358551,6.478258442071139,249.9360983875817,rice
85.8109488338667,47.89119398689984,49.46932338757811,21.357110450360835,79.44263026914159,6.235369570997522,220.94468733864647,rice
81.69829298527979,59.94941311234396,27.012533264601352,27.420695886478704,68.53704182707357,6.282790239504979,238.58056743231012,rice
92.03466797631134,52.11226579792855,51.90020852799888,24.128187319378906,78.30118565868347,6.7002915584400045,230.79130485260447,rice
69.69176411994493,33.66712785996519,26.208215709975832,26.24290186013441,83.13940588856453,6.641669873923719,225.60044178059624,rice
86.90247629292057,51.25590393967337,35.35980190419642,26.14193809389353,76.7045924714668,6.272931153702225,226.60176633203676,rice
70.64992425293153,49.86972480785582,32.958964896959145,25.03123529681922,85.84597327124727,6.55628591161048,249.6384723974013,rice
83.81817418588692,40.76701687955846,38.80422683640401,20.781663915104925,70.4231002206153,5.937055135675959,213.0605697927674,rice
89.79729072068125,35.94520944639939,34.32756168940915,28.248070744465164,79.1498882315086,6.6581304489634805,214.4604110397827,rice
82.53474930558843,35.49977945089419,34.91450386149156,27.10077034364349,68.1814366144612,6.5520482752410505,240.2301832513101,rice
77.87020053163846,30.539421456115456,41.081942615708044,23.676268227340493,83.86140969083763,6.407648250933206,270.23913560906016,rice
82.1277324703237,34.76502507378135,42.689134524344745,25.54999170992941,92.8735006019235,6.692288936070103,242.8511633012892,rice
102.55963469463474,33.11236945677149,30.403727008753783,22.683560146486187,78.88152157475386,5.918159848355292,248.9733208299169,rice
82.33332763481472,30.29193705497342,24.766313781886875,25.78378461862549,88.70501254315505,7.0988558120921255,299.10497425216124,rice
89.97291319931196,35.10461879968136,8.019305789030362,25.66927865585959,75.4964712375174,6.254624958937111,221.53387042068422,rice
83.31050936300338,55.65980230787643,42.35572851168017,24.60341290740328,73.7147699773935,5.813860969353476,224.30122600038672,rice
84.35460939018016,62.67929913579883,41.95411782209329,27.456848777557646,78.00563521168678,5.985269681754041,213.7674312308878,rice
76.29728722557095,66.28469732435164,27.679199811634206,27.09622300934086,74.77658257530379,6.726050554505986,243.468921254329,rice
83.12034522810292,44.59237473864566,30.178184568559146,26.1151805037052,78.36013215727375,5.971037982681463,206.8853733649684,rice
87.07105501266544,60.790912564104346,42.39987420360158,24.703404184725294,84.28660911682034,6.8571006095973885,239.82641503000485,rice
80.06887322999515,56.062887100598886,46.4313465769242,28.83938997998998,83.46587549777524,5.9714358388978255,204.90049761659537,rice
